,aux_train_acc,aux_train_loss,aux_val_acc,aux_val_loss,epoch,iter,train_acc,train_loss,val_acc,val_loss
0,,,,,0,0.0,0.482,0.7069159746170044,0.49,0.6999809741973877
1,,,,,1,0.0,0.8200000000000001,0.43805572390556335,0.759,0.49043169617652893
2,,,,,2,0.0,0.854,0.3293936848640442,0.8009999999999999,0.4179750978946686
3,,,,,3,0.0,0.89,0.2567045986652374,0.821,0.4030011296272278
4,,,,,4,0.0,0.927,0.18112683296203613,0.844,0.3863847851753235
5,,,,,5,0.0,0.967,0.10939247161149979,0.847,0.3797127306461334
6,,,,,6,0.0,0.935,0.1510404795408249,0.823,0.5480996370315552
7,,,,,7,0.0,0.98,0.06712073087692261,0.834,0.4864310920238495
8,,,,,8,0.0,0.964,0.10460527241230011,0.832,0.6145418286323547
9,,,,,9,0.0,0.991,0.03482132405042648,0.862,0.481788694858551
10,,,,,10,0.0,0.986,0.052184563130140305,0.843,0.48536404967308044
11,,,,,11,0.0,0.999,0.01624525524675846,0.86,0.44293367862701416
12,,,,,12,0.0,1.0,0.007368023972958326,0.867,0.4993021488189697
13,,,,,13,0.0,1.0,0.0032663156744092703,0.871,0.5551782250404358
14,,,,,14,0.0,1.0,0.0012972939293831587,0.868,0.593046247959137
15,,,,,15,0.0,1.0,0.0006917835562489927,0.864,0.630754828453064
16,,,,,16,0.0,1.0,0.0004483524535316974,0.867,0.6596345901489258
17,,,,,17,0.0,1.0,0.0003338824608363211,0.869,0.6787837743759155
18,,,,,18,0.0,1.0,0.00026332438574172556,0.87,0.6926230788230896
19,,,,,19,0.0,1.0,0.00021341288811527193,0.87,0.7049350738525391
20,,,,,20,0.0,1.0,0.00017580467101652175,0.869,0.7181340456008911
21,,,,,21,0.0,1.0,0.00014867537538520992,0.867,0.730590283870697
22,,,,,22,0.0,1.0,0.0001289618667215109,0.866,0.7419337034225464
23,,,,,23,0.0,1.0,0.00011416721099521965,0.867,0.7515213489532471
24,,,,,24,0.0,1.0,0.00010211444168817252,0.867,0.7597726583480835
25,,,,,25,0.0,1.0,9.190475975628942e-05,0.868,0.7671780586242676
26,,,,,26,0.0,1.0,8.323538349941373e-05,0.868,0.774310290813446
27,,,,,27,0.0,1.0,7.578897202620283e-05,0.868,0.7812536358833313
28,,,,,28,0.0,1.0,6.93279507686384e-05,0.867,0.787973940372467
29,,,,,29,0.0,1.0,6.367540481733158e-05,0.867,0.7944232225418091
30,,,,,30,0.0,1.0,5.854845221620053e-05,0.867,0.8009622693061829
31,,,,,31,0.0,1.0,5.3964256949257106e-05,0.867,0.8074515461921692
32,,,,,32,0.0,1.0,4.9385547754354775e-05,0.866,0.814322829246521
33,,,,,33,0.0,1.0,4.477572292671539e-05,0.865,0.8222048878669739
34,,,,,34,0.0,1.0,3.886592458002269e-05,0.867,0.8378002643585205
35,,,,,35,0.0,1.0,3.1344890885520726e-05,0.865,0.8719133138656616
36,,,,,36,0.0,1.0,2.511489401513245e-05,0.862,0.8989381790161133
37,,,,,37,0.0,1.0,1.989388510992285e-05,0.862,0.9275040030479431
38,,,,,38,0.0,1.0,1.5768766388646327e-05,0.868,0.9570212960243225
39,,,,,39,0.0,1.0,1.2632370271603577e-05,0.867,0.9820157885551453
40,,,,,40,0.0,1.0,1.0172367183258757e-05,0.867,1.0022403001785278
41,,,,,41,0.0,1.0,8.512854947184678e-06,0.867,1.0164916515350342
42,,,,,42,0.0,1.0,7.373213975370163e-06,0.867,1.0278164148330688
43,,,,,43,0.0,1.0,6.442665835493244e-06,0.867,1.0393399000167847
44,,,,,44,0.0,1.0,5.74505338590825e-06,0.866,1.0490809679031372
