,aux_train_acc,aux_train_loss,aux_val_acc,aux_val_loss,epoch,iter,train_acc,train_loss,val_acc,val_loss
0,0.119,2.397753953933716,0.10999999999999999,2.4238970279693604,0,0.0,0.43700000000000006,0.7543871998786926,0.44499999999999995,0.7506077885627747
1,0.5015000000000001,1.458014965057373,0.4635,1.5212178230285645,1,0.0,0.43700000000000006,0.7396249175071716,0.44499999999999995,0.7360309958457947
2,0.7705,0.7995093464851379,0.7035,0.9602771997451782,2,0.0,0.44499999999999995,0.70534348487854,0.45399999999999996,0.7041014432907104
3,0.8465,0.48128896951675415,0.7725,0.7304881811141968,3,0.0,0.696,0.6321585774421692,0.6719999999999999,0.6408538222312927
4,0.897,0.30831366777420044,0.841,0.5533595085144043,4,0.0,0.78,0.5564727783203125,0.739,0.5771381258964539
5,0.893,0.33637160062789917,0.808,0.6096851825714111,5,0.0,0.802,0.49381223320961,0.79,0.5248140692710876
6,0.9475,0.1821688711643219,0.8685,0.555298388004303,6,0.0,0.823,0.4094279408454895,0.7969999999999999,0.4472595453262329
7,0.95,0.1650565266609192,0.86,0.5549558401107788,7,0.0,0.845,0.3360956311225891,0.8160000000000001,0.398567259311676
8,0.9645,0.138746440410614,0.8745,0.471089243888855,8,0.0,0.878,0.298355370759964,0.8240000000000001,0.3930012583732605
9,0.958,0.13548177480697632,0.865,0.5295142531394958,9,0.0,0.903,0.2365071326494217,0.823,0.3780931532382965
10,0.97,0.10884464532136917,0.879,0.5333390235900879,10,0.0,0.917,0.2070312201976776,0.835,0.39790254831314087
11,0.956,0.14935997128486633,0.8665,0.632775068283081,11,0.0,0.9319999999999999,0.1769770234823227,0.863,0.3594508767127991
12,0.9695,0.10159162431955338,0.8855,0.493815541267395,12,0.0,0.948,0.1391383856534958,0.874,0.3470868766307831
13,0.9885,0.055737074464559555,0.886,0.5633339285850525,13,0.0,0.973,0.09860414266586304,0.875,0.3683858811855316
14,0.9935,0.030730843544006348,0.9005,0.5056658983230591,14,0.0,0.969,0.09356801211833954,0.879,0.3936749994754791
15,0.997,0.023811310529708862,0.9015,0.5071358680725098,15,0.0,0.985,0.05349018797278404,0.882,0.42197495698928833
